player_name,hometown,school_name,position,conference
Mekale McKay,"LOUISVILLE, KY",Cincinnati,WR,American Athletic
Bennie Coney,"PLANT CITY, FL",Cincinnati,QB,American Athletic
Johnny Holton,"MIAMI, FL",Cincinnati,WR,American Athletic
Munchie Legaux,"NEW ORLEANS, LA",Cincinnati,QB,American Athletic
Mark Barr,"FORT LAUDERDALE, FL",Cincinnati,WR,American Athletic
Anthony McClung,"INDIANAPOLIS, IN",Cincinnati,WR,American Athletic
Gunner Kiel,"COLUMBUS, IN",Cincinnati,QB,American Athletic
Brendon Kay,"MARINE CITY, MI",Cincinnati,QB,American Athletic
Chris Moore,"TAMPA, FL",Cincinnati,WR,American Athletic
Michael Colosimo,"FORT MITCHELL, KY",Cincinnati,QB,American Athletic
Jeremy Graves,"CLEVELAND, OH",Cincinnati,WR,American Athletic
Shaq Washington,"MAPLE HEIGHTS, OH",Cincinnati,WR,American Athletic
Tshumbi Johnson,"IMMOKALEE, FL",Cincinnati,WR,American Athletic
Chris Burrell,"WESTWOOD, NJ",Cincinnati,WR,American Athletic
Tim Helton,"CLEVELAND, OH",Cincinnati,WR,American Athletic
Alex Chisum,"FAYETTEVILLE, GA",Cincinnati,WR,American Athletic
Max Morrison,"KENTON, OH",Cincinnati,WR,American Athletic
Nate Cole,"MEMPHIS, TN",Cincinnati,WR,American Athletic
Jacob Giltrow,"WEST CHESTER, OH",Cincinnati,WR,American Athletic
Javon Harrison,"DAYTON, OH",Cincinnati,WR,American Athletic
Shakim Alonzo,"PITTSBURGH, PA",Cincinnati,WR,American Athletic
Dhameer Bradley,"NEW CASTLE, DE",Connecticut,WR,American Athletic
Kivon Taylor,"ATLANTA, GA",Connecticut,QB,American Athletic
Deshon Foxx,"LYNCHBURG, VA",Connecticut,WR,American Athletic
Chris DeBerry,"TORRINGTON, CT",Connecticut,QB,American Athletic
John Green,"MIAMI, FL",Connecticut,WR,American Athletic
Shakim Phillips,"PATERSON, NJ",Connecticut,WR,American Athletic
Kamal Abrams,"DOVER, DE",Connecticut,WR,American Athletic
Chandler Whitmer,"NEWNAN, GA",Connecticut,QB,American Athletic
Scott McCummings,"NATICK, MA",Connecticut,QB,American Athletic
Casey Cochran,"MONROE, CT",Connecticut,QB,American Athletic
Tony Tully,--,Connecticut,WR,American Athletic
Tim Boyle,"MIDDLEFIELD, CT",Connecticut,QB,American Athletic
Michael Ecke,"CHESHIRE, CT",Connecticut,QB,American Athletic
Noel Thomas,"NORWALK, CT",Connecticut,WR,American Athletic
Jonathan Hryniewicz,--,Connecticut,WR,American Athletic
John-Luke Bogue,--,Connecticut,WR,American Athletic
Frank Guardi,"NEW FAIRFIELD, CT",Connecticut,WR,American Athletic
Brian Lemelle,"HARRISBURG, PA",Connecticut,WR,American Athletic
Geremy Davis,"LAWRENCEVILLE, GA",Connecticut,WR,American Athletic
Thomas Lucas,"SILVER SPRING, MD",Connecticut,WR,American Athletic
Nick Vitale,"MADISON, CT",Connecticut,WR,American Athletic
Greg Ward Jr.,"TYLER, TX",Houston,QB,American Athletic
Donald Gage,"ZACHARY, LA",Houston,WR,American Athletic
Deontay Greenberry,"FRESNO, CA",Houston,WR,American Athletic
Daniel Spencer,"GRANDVIEW, TX",Houston,WR,American Athletic
John O'Korn,"FORT LAUDERDALE, FL",Houston,QB,American Athletic
Larry McDuffey,"GALENA PARK, TX",Houston,WR,American Athletic
David Piland,"SOUTHLAKE, TX",Houston,QB,American Athletic
Billy Cosh,"ANNAPOLIS, MD",Houston,QB,American Athletic
Demarcus Ayers,"LANCASTER, TX",Houston,WR,American Athletic
D'Juan Hines,"SPRING, TX",Houston,WR,American Athletic
Kyle Postma,"KATY, TX",Houston,QB,American Athletic
Aaron Johnson,"LONGVIEW, TX",Houston,WR,American Athletic
Casey Martin,"HUFFMAN, TX",Houston,WR,American Athletic
Shane Ros,"KATY, TX",Houston,WR,American Athletic
Markeith Ambles,"MCDONOUGH, GA",Houston,WR,American Athletic
Casey Williams,"HOUSTON, TX",Houston,WR,American Athletic
Greyson Hughes,"HOUSTON, TX",Houston,WR,American Athletic
Hayden Daniels,"NAPERVILLE, IL",Houston,WR,American Athletic
Damian Payne,"HOUSTON, TX",Houston,WR,American Athletic
Caleb Hobbs,"HOUSTON, TX",Houston,WR,American Athletic
Kelechi Ejekam,"HOUSTON, TX",Houston,WR,American Athletic
Linell Bonner,"HOUSTON, TX",Houston,WR,American Athletic
Cameron Oliver,"RICHARDSON, TX",Houston,WR,American Athletic
Cameron Klapesky,"THE WOODLANDS, TX",Houston,WR,American Athletic
Andrew Rodriguez,"ALLEN, TX",Houston,WR,American Athletic
Wayne Beadle,"HOUSTON, TX",Houston,WR,American Athletic
John Leday,"PORT ARTHUR, TX",Houston,WR,American Athletic
Jack Thomas,"SUGAR LAND, TX",Houston,WR,American Athletic
Derek McLemore,"SOUTHLAKE, TX",Houston,WR,American Athletic
Xavier Maxwell,"HUMBLE, TX",Houston,WR,American Athletic
Michaelee Harris,"MIAMI, FL",Louisville,WR,American Athletic
Robert Clark,"PALM BEACH GARDENS, FL",Louisville,WR,American Athletic
Teddy Bridgewater,"MIAMI, FL",Louisville,QB,American Athletic
Damian Copeland,"BRADENTON, FL",Louisville,WR,American Athletic
DeVante Parker,"LOUISVILLE, KY",Louisville,WR,American Athletic
Will Gardner,"DOUGLAS, GA",Louisville,QB,American Athletic
Kai De La Cruz,"MONTVALE, NJ",Louisville,WR,American Athletic
Brett Nelson,"CHULA VISTA, CA",Louisville,QB,American Athletic
Andrew Risher,"LOUISVILLE, KY",Louisville,QB,American Athletic
Kyle Bolin,"LEXINGTON, KY",Louisville,QB,American Athletic
James Quick,"LOUISVILLE, KY",Louisville,WR,American Athletic
Jerry Arlinghaus,"COVINGTON, KY",Louisville,QB,American Athletic
Richard Benjamin,"TAMPA, FL",Louisville,WR,American Athletic
Tae'Shawn Gibbs,"LOUISVILLE, KY",Louisville,WR,American Athletic
Dontez Byrd,"LOUISVILLE, KY",Louisville,WR,American Athletic
Martin Williams,"LAWRENCEVILLE, GA",Louisville,WR,American Athletic
Eli Rogers,"MIAMI, FL",Louisville,WR,American Athletic
Matt Milton,"BELLEVILLE, IL",Louisville,WR,American Athletic
Jarrett Davis,"TYRONE, GA",Louisville,WR,American Athletic
Joe Craig,"GAFFNEY, SC",Memphis,WR,American Athletic
Mose Frazier,"MEMPHIS, TN",Memphis,WR,American Athletic
Jamere Valentine,"MYRTLE BEACH, SC",Memphis,WR,American Athletic
Keiwone Malone,"MEMPHIS, TN",Memphis,WR,American Athletic
LaMarvin Ashley,"MCCOMB, MS",Memphis,WR,American Athletic
Jacob Karam,"FRIENDSWOOD, TX",Memphis,QB,American Athletic
Will Gilchrist,"SAVANNAH, TN",Memphis,WR,American Athletic
Sam Craft,"OLIVE BRANCH, MS",Memphis,QB,American Athletic
Tyriq Patrick,"PHILADELPHIA, MS",Memphis,WR,American Athletic
Paxton Lynch,"DELTONA, FL",Memphis,QB,American Athletic
Cody Jones,"JACKSON, TN",Memphis,QB,American Athletic
Mike Weed,"CLERMONT, FL",Memphis,QB,American Athletic
Eric Mathews,"BROOKSHIRE, TX",Memphis,QB,American Athletic
Kyle Wilson,"TYRONE, GA",Memphis,WR,American Athletic
Brayden Scott,"TULSA, OK",Memphis,QB,American Athletic
Tanner Hudson,"BIG SANDY, TN",Memphis,QB,American Athletic
Anthony Miller,"LAKELAND, TN",Memphis,WR,American Athletic
Frank Wims,--,Memphis,WR,American Athletic
Adrian Henderson,"BELTON, TX",Memphis,WR,American Athletic
Daniel Hurd,"MEMPHIS, TN",Memphis,WR,American Athletic
Reggie Travis,"PLAQUEMINE, LA",Memphis,WR,American Athletic
Dontrinell Scott,"MEMPHIS, TN",Memphis,WR,American Athletic
Tevin Jones,"LEAGUE CITY, TX",Memphis,WR,American Athletic
Drew Bishop,"MEMPHIS, TN",Memphis,WR,American Athletic
Janarion Grant,"TRILBY, FL",Rutgers,WR,American Athletic
Leonte Carroo,"EDISON, NJ",Rutgers,WR,American Athletic
Chris Laviano,"GLEN HEAD, NY",Rutgers,QB,American Athletic
Quron Pratt,"PALMYRA, NJ",Rutgers,WR,American Athletic
Richard Czeczotka,"EAST NORTHPORT, NY",Rutgers,QB,American Athletic
Gary Nova,"ELMWOOD PARK, NJ",Rutgers,QB,American Athletic
Blake Rankin,"BLOOMSBURG, PA",Rutgers,QB,American Athletic
Carlton Agudosi,"SOMERSET, NJ",Rutgers,WR,American Athletic
Devin Ray,"BEDMINSTER, NJ",Rutgers,QB,American Athletic
Mike Bimonte,"MANALAPAN, NJ",Rutgers,QB,American Athletic
Brandon Coleman,"ACCOKEEK, MD",Rutgers,WR,American Athletic
Chas Dodd,"LYMAN, SC",Rutgers,QB,American Athletic
Ruhann Peele,"LINDEN, NJ",Rutgers,WR,American Athletic
Jeffrey Gignac,"WAYNE, NJ",Rutgers,WR,American Athletic
Phil Lewis,"METUCHEN, NJ",Rutgers,WR,American Athletic
John Tsimis,"HARRINGTON PARK, NJ",Rutgers,WR,American Athletic
Vance Matthews,"CAPE MAY, NJ",Rutgers,WR,American Athletic
Andre Patton,"WILMINGTON, DE",Rutgers,WR,American Athletic
Steven Bench,"BAINBRIDGE, GA",South Florida,QB,American Athletic
Matt Floyd,"MILTON, FL",South Florida,QB,American Athletic
Bobby Eveld,"TAMPA, FL",South Florida,QB,American Athletic
Mike White,"FORT LAUDERDALE, FL",South Florida,QB,American Athletic
Zach Benjamin,"TAMPA, FL",South Florida,WR,American Athletic
Kyle Clise,"TACOMA PARK, MD",South Florida,QB,American Athletic
Tommy Eveld,"TAMPA, FL",South Florida,QB,American Athletic
Evan Wilson,"SARASOTA, FL",South Florida,QB,American Athletic
Clinton Jones,"FORT LAUDERDALE, FL",South Florida,WR,American Athletic
Jimel Atkins,"JACKSONVILLE, FL",South Florida,WR,American Athletic
Andre Davis,"TAMPA, FL",South Florida,WR,American Athletic
Jordan Duval,"TAMPA, FL",South Florida,WR,American Athletic
Deonte Welch,"WILLISTON, FL",South Florida,WR,American Athletic
Alex Mut,"PORT CHARLOTTE, FL",South Florida,WR,American Athletic
Ruben Gonzalez,"TAMPA, FL",South Florida,WR,American Athletic
Stephen Bravo-Brown,"NORTH LAUDERDALE, FL",South Florida,WR,American Athletic
Derrick Hopkins,"OPA LOCKA, FL",South Florida,WR,American Athletic
Chris Dunkley,"PAHOKEE, FL",South Florida,WR,American Athletic
Arrius Holleman,"LUBBOCK, TX",Southern Methodist,WR,American Athletic
Deion Sanders Jr.,"ATLANTA, GA",Southern Methodist,WR,American Athletic
Collin LaGasse,"AUSTIN, TX",Southern Methodist,WR,American Athletic
Kyle Guinyard,"ENNIS, TX",Southern Methodist,WR,American Athletic
Stephen Nelson,"BEAVERTON, OR",Southern Methodist,WR,American Athletic
Der'rikk Thompson,"TROUP, TX",Southern Methodist,WR,American Athletic
Ryan Walker,"SOUTHLAKE, TX",Southern Methodist,WR,American Athletic
Austin Kent,"HARBOR, OR",Southern Methodist,QB,American Athletic
Garrett Gilbert,"AUSTIN, TX",Southern Methodist,QB,American Athletic
Neal Burcham,"GREENBRIER, AR",Southern Methodist,QB,American Athletic
Cayman Carter,"NEWPORT BEACH, CA",Southern Methodist,QB,American Athletic
Garrett Krstich,"CARLSBAD, CA",Southern Methodist,QB,American Athletic
Jeremy Johnson,"TYLER, TX",Southern Methodist,WR,American Athletic
Conner Preston,"GARDENA, CA",Southern Methodist,QB,American Athletic
Kolney Cassel,"YAKIMA, WA",Southern Methodist,QB,American Athletic
Aaron Stafford,"FORT WORTH, TX",Southern Methodist,WR,American Athletic
Darius Joseph,"ABILENE, TX",Southern Methodist,WR,American Athletic
J'Marcus Rhodes,"ORANGE, TX",Southern Methodist,WR,American Athletic
Nate Halverson,"PORTLAND, OR",Southern Methodist,WR,American Athletic
Anthony Buffini,"ESCONDIDO, CA",Southern Methodist,WR,American Athletic
Jack Neuheisel,--,Southern Methodist,WR,American Athletic
Keenan Holman,"BEAUMONT, TX",Southern Methodist,WR,American Athletic
Everett Dickerson,"ATLANTA, TX",Southern Methodist,WR,American Athletic
JaBryce Taylor,"LUFKIN, TX",Southern Methodist,WR,American Athletic
Jeremiah Gaines,"RED OAK, TX",Southern Methodist,WR,American Athletic
Marco Barrientos,"DALLAS, TX",Southern Methodist,WR,American Athletic
Marcus Holyfield,"HONOLULU, HI",Southern Methodist,WR,American Athletic
Daijuan Stewart,"BALDWIN, LA",Southern Methodist,WR,American Athletic
Clinton Granger,"PHILADELPHIA, PA",Temple,QB,American Athletic
Ryan Alderman,"DOWNINGTOWN, PA",Temple,WR,American Athletic
Jalen Fitzpatrick,"HARRISBURG, PA",Temple,WR,American Athletic
John Christopher,"ORMOND BEACH, FL",Temple,WR,American Athletic
P.J. Walker,"ELIZABETH, NJ",Temple,QB,American Athletic
Connor Reilly,"FORT POLK, LA",Temple,QB,American Athletic
Tim DiGiorgio,"PHILADELPHIA, PA",Temple,QB,American Athletic
Thomas Rumer,"CHESTER SPRINGS, PA",Temple,QB,American Athletic
Dean Mosley,"ORLANDO, FL",Temple,QB,American Athletic
Brett Pierce,"SICKLERVILLE, NJ",Temple,WR,American Athletic
Robbie Anderson,"DAVIE, FL",Temple,WR,American Athletic
Chad McCloskey,"GLOVERSVILLE, NY",Temple,QB,American Athletic
Khalif Herbin,"MONTCLAIR, NJ",Temple,WR,American Athletic
Hassan Dixon,"GERMANTOWN, MD",Temple,WR,American Athletic
Zack Bambary,"EASTON, PA",Temple,WR,American Athletic
Dion Shaw,"CHESTER, PA",Temple,WR,American Athletic
Tyler Karpinski,"LANCASTER, PA",Temple,WR,American Athletic
Nate Hairston,"FREDERICK, MD",Temple,WR,American Athletic
Deon Miller,"HIGHLAND SPRINGS, VA",Temple,WR,American Athletic
James Whitfield,"FORT MYERS, FL",Temple,WR,American Athletic
Samuel Benjamin,"BALTIMORE, MD",Temple,WR,American Athletic
Jeff Godfrey,"MIAMI, FL",UCF,WR,American Athletic
Blake Bortles,"OVIEDO, FL",UCF,QB,American Athletic
Rannell Hall,"MIAMI, FL",UCF,WR,American Athletic
J.J. Worton,"HOMESTEAD, FL",UCF,WR,American Athletic
Breshad Perriman,"LITHONIA, GA",UCF,WR,American Athletic
Justin Holman,"SNELLVILLE, GA",UCF,QB,American Athletic
Pete DiNovo,"TARPON SPRINGS, FL",UCF,QB,American Athletic
Josh Reese,"MIAMI, FL",UCF,WR,American Athletic
Taylor Oldham,"DAYTONA BEACH, FL",UCF,WR,American Athletic
Jackie Williams,"PRICHARD, AL",UCF,WR,American Athletic
Chris Johnson,"JACKSONVILLE, FL",UCF,WR,American Athletic
Michael Colubiale,"PORT ORANGE, FL",UCF,WR,American Athletic
Kyle Coltrain,"NOBLESVILLE, IN",UCF,WR,American Athletic
Hayden Jones,"ALTAMONTE SPRINGS, FL",UCF,WR,American Athletic
Nigel Matthews,"DALLAS, GA",Boston College,WR,ACC
Harrison Jackson,"ROUND HILL, VA",Boston College,WR,ACC
Spiffy Evans,"HOLLYWOOD, FL",Boston College,WR,ACC
Josh Bordner,"SYKESVILLE, MD",Boston College,QB,ACC
Bobby Swigert,"LOUISVILLE, OH",Boston College,WR,ACC
Chase Rettig,"SIERRA MADRE, CA",Boston College,QB,ACC
Christian Suntrup,"SAINT LOUIS, MO",Boston College,QB,ACC
Mack Lowrie,"FOXBORO, MA",Boston College,QB,ACC
James Walsh,"DUBLIN, OH",Boston College,QB,ACC
Mike Marscovetra,"OAKLAND, NJ",Boston College,QB,ACC
Dan Crimmins,"CLOSTER, NJ",Boston College,WR,ACC
Austin Lommen,"EDEN PRAIRIE, MN",Boston College,QB,ACC
Charlie Callinan,"WESTFIELD, NJ",Boston College,WR,ACC
Jeffrey Jay,"GREENWICH, CT",Boston College,WR,ACC
Drew Barksdale,"SOLON, OH",Boston College,WR,ACC
Griff Rogan,"GARDEN CITY, NY",Boston College,WR,ACC
Brian Miller,"ANDOVER, MA",Boston College,WR,ACC
Alex Amidon,"GREENFIELD, MA",Boston College,WR,ACC
Joel Karim Zoungrana,"MONTREAL, PQ",Boston College,WR,ACC
Marcus Grant,"CARVER, MA",Boston College,WR,ACC
Martavis Bryant,"CALHOUN FALLS, SC",Clemson,WR,ACC
Sammy Watkins,"FORT MYERS, FL",Clemson,WR,ACC
Nick Schuessler,"GRAYSON, GA",Clemson,QB,ACC
Germone Hopper,"CHARLOTTE, NC",Clemson,WR,ACC
Mike Williams,"HOLLY HILL, SC",Clemson,WR,ACC
Tajh Boyd,"HAMPTON, VA",Clemson,QB,ACC
Chad Kelly,"NIAGARA FALLS, NY",Clemson,QB,ACC
Adam Humphries,"SPARTANBURG, SC",Clemson,WR,ACC
Donny McElveen,"SUMMERVILLE, SC",Clemson,QB,ACC
Austin McCaskill,"EASLEY, SC",Clemson,QB,ACC
Cole Stoudt,"DUBLIN, OH",Clemson,QB,ACC
Charone Peake,"MOORE, SC",Clemson,WR,ACC
Adrien Dunn,"CLEMSON, SC",Clemson,WR,ACC
Julian Patton,"ROCK HILL, SC",Clemson,WR,ACC
Alex Burdette,"PAWLEYS ISLAND, SC",Clemson,WR,ACC
T.J. Green,"SYLACAUGA, AL",Clemson,WR,ACC
Andrew Maass,"RIDGEWAY, SC",Clemson,WR,ACC
Daniel Rodriguez,"STAFFORD, VA",Clemson,WR,ACC
Wes Forbush,"JOHNSON CITY, TN",Clemson,WR,ACC
Seth Ryan,"SUMMIT, NJ",Clemson,WR,ACC
Matt Porter,"CHARLESTON, SC",Clemson,WR,ACC
Thomas Sirk,"GLEN SAINT MARY, FL",Duke,QB,ACC
Jamison Crowder,"MONROE, NC",Duke,WR,ACC
Johnell Barnes,"LEHIGH ACRES, FL",Duke,WR,ACC
Brandon Braxton,"CHARLOTTE, NC",Duke,WR,ACC
Anthony Boone,"WEDDINGTON, NC",Duke,QB,ACC
Ryan Smith,"LAS VEGAS, NV",Duke,WR,ACC
T.J. Douglas,"FORT MYERS, FL",Duke,WR,ACC
Parker Boehme,"JACKSONVILLE BEACH, FL",Duke,QB,ACC
Kane Banner,"LUMBERTON, NC",Duke,QB,ACC
Johndre Bennett,"PEARCY, AR",Duke,WR,ACC
Mackenzie Sovereign,"TRAVERSE CITY, MI",Duke,QB,ACC
Robert Collins,"SAINT DAVIDS, PA",Duke,QB,ACC
Issac Blakeney,"MONROE, NC",Duke,WR,ACC
Brandon Connette,"CORONA, CA",Duke,QB,ACC
Quay Chambers,"MONROE, NC",Duke,QB,ACC
Brandon Watkins,"DURHAM, NC",Duke,WR,ACC
Jack Wise,"RUMSON, NJ",Duke,WR,ACC
Anthony Nash,"WEST CHESTER, PA",Duke,WR,ACC
Terrence Alls,"MIAMI GARDENS, FL",Duke,WR,ACC
Max McCaffrey,"CASTLE ROCK, CO",Duke,WR,ACC
Erich Schneider,"JACKSONVILLE BEACH, FL",Duke,WR,ACC
Kelvin Benjamin,"BELLE GLADE, FL",Florida State,WR,ACC
Jesus Wilson,"MIAMI, FL",Florida State,WR,ACC
Jameis Winston,"BESSEMER, AL",Florida State,QB,ACC
Levonte Whitfield,"ORLANDO, FL",Florida State,WR,ACC
Sean Maguire,"SPARTA, NJ",Florida State,QB,ACC
John Franklin III,"PLANTATION, FL",Florida State,QB,ACC
Hunter Dewitt,"SARASOTA, FL",Florida State,QB,ACC
Jarred Haggins,"LAKELAND, FL",Florida State,WR,ACC
Rashad Gholston,"MIAMI GARDENS, FL",Florida State,WR,ACC
Jacob Coker,"MOBILE, AL",Florida State,QB,ACC
Christian Griffith,"WEST PALM BEACH, FL",Florida State,WR,ACC
Troy Cook,"MIAMI, FL",Florida State,QB,ACC
Jared Armstrong,"GAINESVILLE, FL",Florida State,QB,ACC
Jermaine Washington,"JACKSONVILLE, FL",Florida State,WR,ACC
Bryan LaCivita,"GAINESVILLE, FL",Florida State,WR,ACC
Rashad Greene,"ALBANY, GA",Florida State,WR,ACC
Kenny Shaw,"ORLANDO, FL",Florida State,WR,ACC
Dan O'Neill,"JUPITER, FL",Florida State,WR,ACC
Isaiah Jones,"MILTON, FL",Florida State,WR,ACC
Tasean Crews,"PENSACOLA, FL",Florida State,WR,ACC
Jared Jackson,"MONTICELLO, FL",Florida State,WR,ACC
Jeren Kowalewski,"BRADENTON, FL",Florida State,WR,ACC
Christian Green,"TAMPA, FL",Florida State,WR,ACC
Vad Lee,"DURHAM, NC",Georgia Tech,QB,ACC
Brady Swilling,"CHATSWORTH, GA",Georgia Tech,QB,ACC
Justin Thomas,"PRATTVILLE, AL",Georgia Tech,QB,ACC
DeAndre Smelter,"MACON, GA",Georgia Tech,WR,ACC
Corey Dennis,"TROY, AL",Georgia Tech,WR,ACC
Ty Griffin,"ATLANTA, GA",Georgia Tech,QB,ACC
Tim Byerly,"ALPHARETTA, GA",Georgia Tech,QB,ACC
Travin Henry,"ADEL, GA",Georgia Tech,WR,ACC
Brandon Oliver,"DOUGLASVILLE, GA",Georgia Tech,WR,ACC
Anthony Autry,"NORCROSS, GA",Georgia Tech,WR,ACC
Ricky Jeune,"SPRING VALLEY, NY",Georgia Tech,WR,ACC
Matt Serpico,"FAYETTEVILLE, GA",Georgia Tech,WR,ACC
Micheal Summers,"STATESBORO, GA",Georgia Tech,WR,ACC
Will Smith,"SAINT LOUIS, MO",Georgia Tech,WR,ACC
Antonio Messick,"FAYETTEVILLE, GA",Georgia Tech,WR,ACC
Darren Waller,"ACWORTH, GA",Georgia Tech,WR,ACC
Jamie Alvarez,"FORT MYERS, FL",Georgia Tech,WR,ACC
Jalen Saunders,"AUGUSTA, GA",Georgia Tech,WR,ACC
Bennett Barton,"ROSWELL, GA",Georgia Tech,WR,ACC
Stefon Diggs,"GAITHERSBURG, MD",Maryland,WR,ACC
Shane Cockerille,"BALTIMORE, MD",Maryland,QB,ACC
Nigel King,"RALEIGH, NC",Maryland,WR,ACC
Dustin Dailey,"EL PASO, TX",Maryland,QB,ACC
Deon Long,"WASHINGTON, DC",Maryland,WR,ACC
Caleb Rowe,"LANDRUM, SC",Maryland,QB,ACC
Levern Jacobs,"TEMPLE HILLS, MD",Maryland,WR,ACC
Ricardo Young,"WASHINGTON, DC",Maryland,QB,ACC
Tyrek Cheeseboro,"BALTIMORE, MD",Maryland,WR,ACC
Perry Hills,"PITTSBURGH, PA",Maryland,QB,ACC
Taivon Jacobs,"CAMP SPRINGS, MD",Maryland,WR,ACC
DeAndre Lane,"CATONSVILLE, MD",Maryland,WR,ACC
C.J. Brown,"CRANBERRY TOWNSHIP, PA",Maryland,QB,ACC
Regis Whittington,--,Maryland,WR,ACC
Daniel Adams,"WASHINGTON, DC",Maryland,WR,ACC
Tejiri Erhie,"ODENTON, MD",Maryland,WR,ACC
Malcolm Culmer,"WILLINGBORO, NJ",Maryland,WR,ACC
Amba Etta-Tawo,"POWDER SPRINGS, GA",Maryland,WR,ACC
Tehuti Miles,--,Maryland,WR,ACC
Allen Hurns,"MIAMI, FL",Miami (FL),WR,ACC
Michael Welch,"WINNETKA, IL",Miami (FL),QB,ACC
Stacy Coley,"POMPANO BEACH, FL",Miami (FL),WR,ACC
Phillip Dorsett,"FORT LAUDERDALE, FL",Miami (FL),WR,ACC
Herb Waters,"HOMESTEAD, FL",Miami (FL),WR,ACC
Malcolm Lewis,"MIRAMAR, FL",Miami (FL),WR,ACC
Ryan Williams,"PEMBROKE PINES, FL",Miami (FL),QB,ACC
Preston Dewey,"AUSTIN, TX",Miami (FL),QB,ACC
Gray Crow,"CLEARWATER, FL",Miami (FL),QB,ACC
Isaac Hoza,"FORT LAUDERDALE, FL",Miami (FL),QB,ACC
D'Mauri Jones,"LEESBURG, FL",Miami (FL),WR,ACC
Garrison Lassiter,"HIGH POINT, NC",Miami (FL),QB,ACC
Stephen Morris,"MIAMI, FL",Miami (FL),QB,ACC
Chad Barnes,"WESTON, FL",Miami (FL),WR,ACC
Kevin Olsen,"WAYNE, NJ",Miami (FL),QB,ACC
Josh Johnson,"JACKSONVILLE, FL",Miami (FL),WR,ACC
Joey McNeill,--,Miami (FL),WR,ACC
Stephen Sweeney,"RIDGEWOOD, NJ",Miami (FL),WR,ACC
Malik Mayweather,"OLIVE BRANCH, MS",Miami (FL),WR,ACC
Rashawn Scott,"MELBOURNE, FL",Miami (FL),WR,ACC
John D'Uva,"RIDGEWOOD, NJ",Miami (FL),WR,ACC
Greg Golden,"RED BANK, NJ",Miami (FL),WR,ACC
Garrett Kidd,"MIDLAND, MI",Miami (FL),WR,ACC
Bryn Renner,"WEST SPRINGFIELD, VA",North Carolina,QB,ACC
Ryan Switzer,"CHARLESTON, WV",North Carolina,WR,ACC
T.J. Thorpe,"DURHAM, NC",North Carolina,WR,ACC
Sean Tapley,"JACKSONVILLE, FL",North Carolina,WR,ACC
Mitch Trubisky,"MENTOR, OH",North Carolina,QB,ACC
Kanler Coker,"FLOWERY BRANCH, GA",North Carolina,QB,ACC
Marquise Williams,"CHARLOTTE, NC",North Carolina,QB,ACC
Mack Hollins,"ROCKVILLE, MD",North Carolina,WR,ACC
Quinshad Davis,"GAFFNEY, SC",North Carolina,WR,ACC
Caleb Pressley,"ASHEVILLE, NC",North Carolina,QB,ACC
Mark McNeill,"WEST RIVER, MD",North Carolina,WR,ACC
Kedrick Davis,"CHARLOTTE, NC",North Carolina,WR,ACC
Jordan Darty,"STATESVILLE, NC",North Carolina,WR,ACC
Darien McNeill,"SANFORD, NC",North Carolina,WR,ACC
Jackson Boyer,"CHAPEL HILL, NC",North Carolina,WR,ACC
Luke Heavner,"JAMESTOWN, NC",North Carolina,WR,ACC
Kendrick Singleton,"MACCLENNY, FL",North Carolina,WR,ACC
Roy Smith,"MIAMI, FL",North Carolina,WR,ACC
Cameron Campbell,"KERNERSVILLE, NC",North Carolina,WR,ACC
Bug Howard,"ROCHELLE, GA",North Carolina,WR,ACC
Nic Platt,"MIAMI, FL",North Carolina,WR,ACC
Jordan Fieulleteau,"RALEIGH, NC",North Carolina,WR,ACC
Dalton Stogner,"DALLAS, TX",North Carolina,WR,ACC
Marquez Valdes-Scantling,--,North Carolina State,WR,ACC
Rashard Smith,"DUBLIN, GA",North Carolina State,WR,ACC
Pete Thomas,"EL CAJON, CA",North Carolina State,QB,ACC
Josh Taylor,"NEW BERN, NC",North Carolina State,QB,ACC
Brandon Mitchell,"AMITE, LA",North Carolina State,QB,ACC
Travares Copeland,"PORT SAINT LUCIE, FL",North Carolina State,WR,ACC
Garrett Leatham,"APEX, NC",North Carolina State,QB,ACC
Jacoby Brissett,"WEST PALM BEACH, FL",North Carolina State,QB,ACC
Bra'Lon Cherry,"NEW BERN, NC",North Carolina State,WR,ACC
Bryant Shirreffs,"JEFFERSON, GA",North Carolina State,QB,ACC
Johnathan Alston,"BUNN, NC",North Carolina State,WR,ACC
Manny Stocker,"COATESVILLE, PA",North Carolina State,QB,ACC
Maurice Morgan,"LA GRANGE, NC",North Carolina State,WR,ACC
Nicholas Lacy,"PINEHURST, NC",North Carolina State,WR,ACC
Dayton Campos,"JACKSONVILLE, NC",North Carolina State,WR,ACC
Charlie Twitty,"RALEIGH, NC",North Carolina State,WR,ACC
Gavin Locklear,"APEX, NC",North Carolina State,WR,ACC
Ben Grazen,"CARY, NC",North Carolina State,WR,ACC
Mychal Jones,"RALEIGH, NC",North Carolina State,WR,ACC
Bryan Underwood,"UNIVERSITY HEIGHTS, OH",North Carolina State,WR,ACC
Charlie Hegedus,"MARIETTA, GA",North Carolina State,WR,ACC
Jumichael Ramos,"LOVEJOY, GA",North Carolina State,WR,ACC
Marcellus Ballard,"WILSON, NC",North Carolina State,WR,ACC
Pharoah McKever,"TABOR CITY, NC",North Carolina State,WR,ACC
Quintin Payton,"ANDERSON, SC",North Carolina State,WR,ACC
