avg_height,position
77.13418530351437,OT
75.7734060884549,OL
75.72075471698113,TE
75.69675090252707,G
75.01639344262296,DE
74.89403973509934,C
74.5710843373494,DL
74.34941763727122,DT
74.11102886750555,QB
74.08928571428571,NT
73.25698324022346,P
73.0092015434847,LB
72.95443037974684,LS
72.34048481471162,WR
72.14285714285714,?
72.14147909967846,S
71.97303370786517,FB
71.61324503311258,K
71.34260289210233,DB
70.78420467185762,CB
70.1964379256155,RB
